"Trimetal M104C","trimetal-m104c","#d4dfe0"
"Trimetal M106C","trimetal-m106c","#d0dfe0"
"Trimetal M209C","trimetal-m209c","#c6dee2"
"Trimetal M305M","trimetal-m305m","#596466"
"Trimetal M312D","trimetal-m312d","#b6d5dd"
"Trimetal M404M","trimetal-m404m","#586063"
"Trimetal M416L","trimetal-m416l","#4c7481"
"Trimetal M522J","trimetal-m522j","#468699"
"Trimetal M612D","trimetal-m612d","#bbd8e0"
"Trimetal M613C","trimetal-m613c","#bad8e2"
"Trimetal M618E","trimetal-m618e","#91c0d1"
"Trimetal M618G","trimetal-m618g","#7dacbd"
"Trimetal M711D","trimetal-m711d","#b2cdd7"
"Trimetal M711F","trimetal-m711f","#91acb5"
"Trimetal M714E","trimetal-m714e","#9ec2d0"
"Trimetal M806C","trimetal-m806c","#c5d4d8"
"Trimetal M810C","trimetal-m810c","#c6dde4"
"Trimetal M814P","trimetal-m814p","#003f4a"
"Trimetal M822D","trimetal-m822d","#95cde2"
"Trimetal M918D","trimetal-m918d","#a8d1e3"
"Trimetal M924G","trimetal-m924g","#6baac3"
"Trimetal M927N","trimetal-m927n","#00526f"
"Trimetal N003B","trimetal-n003b","#e0e6e7"
"Trimetal N017E","trimetal-n017e","#9ac3d5"
"Trimetal N031F","trimetal-n031f","#5cb1d2"
"Trimetal N110D","trimetal-n110d","#b3cada"
