"Sto 35409","sto-35409","#e8f2ed"
"Sto 35410","sto-35410","#6c9ea2"
"Sto 35411","sto-35411","#8eb9bc"
"Sto 35412","sto-35412","#9fc4c6"
"Sto 35413","sto-35413","#b6d3d3"
"Sto 35414","sto-35414","#c1d9d9"
"Sto 35415","sto-35415","#d1e3e1"
"Sto 35420","sto-35420","#618d92"
"Sto 35421","sto-35421","#83aaae"
"Sto 35422","sto-35422","#a3bec1"
"Sto 35423","sto-35423","#baccce"
"Sto 35430","sto-35430","#667b80"
"Sto 35431","sto-35431","#83989c"
"Sto 35432","sto-35432","#96a9ad"
"Sto 35433","sto-35433","#aebec0"
"Sto 35434","sto-35434","#b7c5c7"
"Sto 35435","sto-35435","#c8d4d4"
"Sto 35436","sto-35436","#d6dfdd"
"Sto 35437","sto-35437","#e1e7e3"
"Sto 35440","sto-35440","#568d91"
"Sto 35441","sto-35441","#3e7276"
"Sto 35442","sto-35442","#39575b"
"Sto 36100","sto-36100","#38815f"
"Sto 36101","sto-36101","#49906e"
"Sto 36102","sto-36102","#68a987"
"Sto 36103","sto-36103","#8dc0a3"
"Sto 36104","sto-36104","#9cc7ae"
