"TRUMATCH 12-c5","12-c5","#c8bb58"
"TRUMATCH 12-a3","12-a3","#e2cd00"
"TRUMATCH 12-b3","12-b3","#e2cf37"
"TRUMATCH 12-c3","12-c3","#e1d25e"
"TRUMATCH 12-d3","12-d3","#e0d481"
"TRUMATCH 12-e3","12-e3","#dfd79f"
"TRUMATCH 12-a6","12-a6","#bdac01"
"TRUMATCH 12-b6","12-b6","#bdae36"
"TRUMATCH 12-c6","12-c6","#bcb155"
"TRUMATCH 12-a4","12-a4","#d6c200"
"TRUMATCH 12-b4","12-b4","#d6c437"
"TRUMATCH 12-c4","12-c4","#d5c75c"
"TRUMATCH 12-d4","12-d4","#d4ca7c"
"TRUMATCH 12-e4","12-e4","#d3cc98"
"TRUMATCH 12-a7","12-a7","#b0a20c"
"TRUMATCH 12-b7","12-b7","#b0a436"
"TRUMATCH 12-c7","12-c7","#b0a651"
"TRUMATCH 13-a","13-a","#fce800"
"TRUMATCH 13-b","13-b","#fdeb38"
"TRUMATCH 13-c","13","#ffef67"
"TRUMATCH 13-d","13-d","#fff290"
"TRUMATCH 13-e","13-e","#fff6b3"
"TRUMATCH 13-f","13-f","#fef9d2"
"TRUMATCH 13-g","13-g","#fefced"
"TRUMATCH 13-a1","13-a1","#f1de00"
"TRUMATCH 13-b1","13-b1","#f2e138"
"TRUMATCH 13-c1","13-c1","#f3e465"
"TRUMATCH 13-d1","13-d1","#f3e88c"
"TRUMATCH 13-e1","13-e1","#f4ecad"
"TRUMATCH 13-f1","13-f1","#f3efca"
"TRUMATCH 13-d5","13-d5","#c3bc76"
"TRUMATCH 13-e5","13-e5","#c4c090"
"TRUMATCH 13-a2","13-a2","#e4d300"
"TRUMATCH 13-b2","13-b2","#e5d639"
"TRUMATCH 13-c2","13-c2","#e7d962"
"TRUMATCH 13-d2","13-d2","#e7dd86"
"TRUMATCH 13-e2","13-e2","#e8e1a6"
"TRUMATCH 13-a5","13-a5","#c1b300"
"TRUMATCH 13-b5","13-b5","#c2b638"
"TRUMATCH 13-c5","13-c5","#c3b958"
"TRUMATCH 13-a3","13-a3","#d9c900"
"TRUMATCH 13-b3","13-b3","#dacb39"
"TRUMATCH 13-c3","13-c3","#dbcf5f"
"TRUMATCH 13-d3","13-d3","#dbd281"
"TRUMATCH 13-e3","13-e3","#dcd69f"
"TRUMATCH 13-a6","13-a6","#b5a909"
"TRUMATCH 13-b6","13-b6","#b6ac38"
"TRUMATCH 13-c6","13-c6","#b7af55"
"TRUMATCH 13-a4","13-a4","#cdbe00"
"TRUMATCH 13-b4","13-b4","#cec139"
"TRUMATCH 13-c4","13-c4","#cfc45c"
"TRUMATCH 13-d4","13-d4","#cfc87c"
